Metric,Random Forest (UTS),DNN Baseline (UAS),Difference,Diff (%)
Accuracy,0.8620689655172413,0.8408488063660478,-0.021220159151193574,-2.4615384615384546
ROC-AUC,0.9347018279892118,0.9348816302067725,0.00017980221756075387,0.01923631816871007
Precision,0.9030837004405287,0.9396984924623115,0.03661479202178286,4.054418433631565
Recall,0.8723404255319149,0.7957446808510639,-0.07659574468085106,-8.780487804878048
F1-Score,0.8874458874458875,0.8617511520737328,-0.02569473537215472,-2.8953579858379217
Specificity,0.8450704225352113,0.9154929577464789,0.07042253521126762,8.333333333333336
Balanced Accuracy,0.8587054240335631,0.8556188192987714,-0.0030866047347917203,-0.3594486128075369
