Metric,"Random Forest
(UTS)","DNN Baseline
(UAS)","DNN Tuned
(UAS)"
ROC-AUC ⭐,0.9347018279892118,0.9363500149835181,0.9343422235540905
Accuracy,0.8620689655172413,0.8673740053050398,0.8461538461538461
Precision,0.9030837004405287,0.9342723004694836,0.9234449760765551
Recall (Sensitivity),0.8723404255319149,0.8468085106382979,0.8212765957446808
Specificity,0.8450704225352113,0.9014084507042254,0.8873239436619719
F1-Score,0.8874458874458875,0.8883928571428571,0.8693693693693694
Balanced Accuracy,0.8587054240335631,0.8741084806712616,0.8543002697033264
MCC (Matthews Corr.),0.7102111473324063,0.7312972269275964,0.6907991555499667
