threshold,accuracy,precision,recall,f1_score,specificity,youden_j
0.1,0.623342175066313,0.623342175066313,1.0,0.7679738562091504,0.0,0.0
0.11,0.623342175066313,0.623342175066313,1.0,0.7679738562091504,0.0,0.0
0.12000000000000001,0.623342175066313,0.623342175066313,1.0,0.7679738562091504,0.0,0.0
0.13,0.6259946949602122,0.625,1.0,0.7692307692307693,0.007042253521126761,0.007042253521126751
0.14,0.6286472148541115,0.6266666666666667,1.0,0.7704918032786885,0.014084507042253521,0.014084507042253502
0.15000000000000002,0.636604774535809,0.6317204301075269,1.0,0.7742998352553542,0.035211267605633804,0.035211267605633756
0.16,0.636604774535809,0.6317204301075269,1.0,0.7742998352553542,0.035211267605633804,0.035211267605633756
0.17,0.636604774535809,0.6317204301075269,1.0,0.7742998352553542,0.035211267605633804,0.035211267605633756
0.18,0.6419098143236074,0.6351351351351351,1.0,0.7768595041322314,0.04929577464788732,0.04929577464788726
0.19,0.6525198938992043,0.6420765027322405,1.0,0.7820299500831946,0.07746478873239436,0.07746478873239426
0.2,0.6551724137931034,0.6446280991735537,0.9957446808510638,0.782608695652174,0.09154929577464789,0.0872939766257117
0.21000000000000002,0.6657824933687002,0.6518105849582173,0.9957446808510638,0.7878787878787878,0.11971830985915492,0.1154629907102187
0.22,0.6684350132625995,0.6536312849162011,0.9957446808510638,0.7892074198988196,0.1267605633802817,0.12250524423134546
0.23,0.6737400530503979,0.6573033707865169,0.9957446808510638,0.7918781725888325,0.14084507042253522,0.13658975127359896
0.24000000000000002,0.6843501326259946,0.6647727272727273,0.9957446808510638,0.797274275979557,0.16901408450704225,0.16475876535810619
0.25,0.7002652519893899,0.6773255813953488,0.9914893617021276,0.8048359240069085,0.21830985915492956,0.20979922085705716
0.26,0.713527851458886,0.6884272997032641,0.9872340425531915,0.8111888111888111,0.2605633802816901,0.2477974228348816
0.27,0.7400530503978779,0.7107692307692308,0.9829787234042553,0.825,0.3380281690140845,0.3210068924183398
0.28,0.7612732095490716,0.7301587301587301,0.9787234042553191,0.8363636363636363,0.4014084507042254,0.3801318549595445
0.29000000000000004,0.7692307692307693,0.7371794871794872,0.9787234042553191,0.8409506398537477,0.4225352112676056,0.40125861552292474
0.30000000000000004,0.7904509283819628,0.7582781456953642,0.9744680851063829,0.8528864059590316,0.4859154929577465,0.46038357806412944
0.31,0.8169761273209549,0.7881944444444444,0.9659574468085106,0.8680688336520076,0.5704225352112676,0.5363799820197781
0.32,0.8275862068965517,0.8014184397163121,0.9617021276595744,0.874274661508704,0.6056338028169014,0.5673359304764758
0.33,0.8461538461538461,0.8218181818181818,0.9617021276595744,0.8862745098039215,0.6549295774647887,0.6166317051243633
0.33999999999999997,0.8514588859416445,0.8302583025830258,0.9574468085106383,0.8893280632411067,0.676056338028169,0.6335031465388075
0.35,0.8673740053050398,0.8571428571428571,0.9446808510638298,0.8987854251012146,0.7394366197183099,0.6841174707821396
0.36,0.8620689655172413,0.8704453441295547,0.9148936170212766,0.8921161825726142,0.7746478873239436,0.6895415043452202
0.37,0.8673740053050398,0.8775510204081632,0.9148936170212766,0.8958333333333334,0.7887323943661971,0.7036260113874737
0.38,0.8673740053050398,0.8870292887029289,0.902127659574468,0.8945147679324894,0.8098591549295775,0.7119868145040456
0.39,0.8673740053050398,0.9039301310043668,0.8808510638297873,0.8922413793103449,0.8450704225352113,0.7259214863649985
0.4,0.8620689655172413,0.9066666666666666,0.8680851063829788,0.8869565217391304,0.852112676056338,0.7201977824393166
0.41000000000000003,0.8594164456233422,0.9136363636363637,0.8553191489361702,0.8835164835164835,0.8661971830985915,0.7215163320347617
0.42000000000000004,0.8594164456233422,0.9174311926605505,0.851063829787234,0.8830022075055187,0.8732394366197183,0.7243032664069524
0.43000000000000005,0.8594164456233422,0.9212962962962963,0.8468085106382979,0.8824833702882483,0.8802816901408451,0.7270902007791431
0.44000000000000006,0.8647214854111406,0.9299065420560748,0.8468085106382979,0.8864142538975501,0.8943661971830986,0.7411747078213966
0.45000000000000007,0.8620689655172413,0.9295774647887324,0.8425531914893617,0.8839285714285714,0.8943661971830986,0.7369193886724603
0.45999999999999996,0.8541114058355438,0.9326923076923077,0.825531914893617,0.8758465011286681,0.9014084507042254,0.7269403655978424
0.47,0.8488063660477454,0.9320388349514563,0.8170212765957446,0.8707482993197279,0.9014084507042254,0.71842972729997
0.48,0.8541114058355438,0.9411764705882353,0.8170212765957446,0.8747152619589977,0.9154929577464789,0.7325142343422235
0.49,0.8514588859416445,0.9408866995073891,0.8127659574468085,0.8721461187214612,0.9154929577464789,0.7282589151932872
0.5,0.8408488063660478,0.9396984924623115,0.7957446808510639,0.8617511520737328,0.9154929577464789,0.7112376385975427
0.51,0.8408488063660478,0.9396984924623115,0.7957446808510639,0.8617511520737328,0.9154929577464789,0.7112376385975427
0.52,0.8408488063660478,0.9441624365482234,0.7914893617021277,0.8611111111111112,0.9225352112676056,0.7140245729697332
0.53,0.8381962864721485,0.9438775510204082,0.7872340425531915,0.8584686774941995,0.9225352112676056,0.7097692538207971
0.54,0.830238726790451,0.9430051813471503,0.774468085106383,0.8504672897196262,0.9225352112676056,0.6970032963739885
0.55,0.830238726790451,0.9430051813471503,0.774468085106383,0.8504672897196262,0.9225352112676056,0.6970032963739885
0.56,0.830238726790451,0.9430051813471503,0.774468085106383,0.8504672897196262,0.9225352112676056,0.6970032963739885
0.5700000000000001,0.8222811671087533,0.9421052631578948,0.7617021276595745,0.8423529411764706,0.9225352112676056,0.6842373389271801
0.58,0.8222811671087533,0.9421052631578948,0.7617021276595745,0.8423529411764706,0.9225352112676056,0.6842373389271801
0.59,0.8222811671087533,0.9421052631578948,0.7617021276595745,0.8423529411764706,0.9225352112676056,0.6842373389271801
0.6,0.8222811671087533,0.9421052631578948,0.7617021276595745,0.8423529411764706,0.9225352112676056,0.6842373389271801
0.61,0.8222811671087533,0.9468085106382979,0.7574468085106383,0.8416075650118203,0.9295774647887324,0.6870242732993708
0.62,0.8169761273209549,0.946236559139785,0.7489361702127659,0.836104513064133,0.9295774647887324,0.6785136350014982
0.63,0.8169761273209549,0.9510869565217391,0.7446808510638298,0.8353221957040573,0.9366197183098591,0.6813005693736889
0.64,0.8169761273209549,0.9560439560439561,0.7404255319148936,0.8345323741007195,0.9436619718309859,0.6840875037458796
0.65,0.8143236074270557,0.9558011049723757,0.7361702127659574,0.8317307692307693,0.9436619718309859,0.6798321845969433
0.66,0.8143236074270557,0.9558011049723757,0.7361702127659574,0.8317307692307693,0.9436619718309859,0.6798321845969433
0.67,0.8090185676392573,0.9553072625698324,0.7276595744680852,0.8260869565217391,0.9436619718309859,0.6713215462990711
0.6799999999999999,0.8063660477453581,0.9550561797752809,0.723404255319149,0.8232445520581114,0.9436619718309859,0.6670662271501349
0.69,0.8010610079575596,0.9545454545454546,0.7148936170212766,0.8175182481751825,0.9436619718309859,0.6585555888522625
0.7,0.7957559681697612,0.9540229885057471,0.7063829787234043,0.8117359413202934,0.9436619718309859,0.6500449505543902
0.71,0.7904509283819628,0.9534883720930233,0.6978723404255319,0.8058968058968059,0.9436619718309859,0.6415343122565178
0.72,0.7877984084880637,0.9532163742690059,0.6936170212765957,0.8029556650246306,0.9436619718309859,0.6372789931075817
0.73,0.7877984084880637,0.9640718562874252,0.6851063829787234,0.8009950248756219,0.9577464788732394,0.6428528618519627
0.74,0.7798408488063661,0.9634146341463414,0.6723404255319149,0.7919799498746867,0.9577464788732394,0.6300869044051542
0.75,0.7771883289124668,0.9631901840490797,0.6680851063829787,0.7889447236180904,0.9577464788732394,0.625831585256218
0.76,0.7745358090185677,0.9629629629629629,0.6638297872340425,0.7858942065491183,0.9577464788732394,0.6215762661072819
0.77,0.7745358090185677,0.9629629629629629,0.6638297872340425,0.7858942065491183,0.9577464788732394,0.6215762661072819
0.78,0.7692307692307693,0.9625,0.6553191489361702,0.779746835443038,0.9577464788732394,0.6130656278094095
0.79,0.76657824933687,0.9622641509433962,0.6510638297872341,0.7766497461928934,0.9577464788732394,0.6088103086604735
0.8,0.7559681697612732,0.9612903225806452,0.6340425531914894,0.764102564102564,0.9577464788732394,0.5917890320647288
0.8099999999999999,0.7480106100795756,0.9605263157894737,0.6212765957446809,0.7545219638242894,0.9577464788732394,0.5790230746179201
0.82,0.7427055702917772,0.9662162162162162,0.6085106382978723,0.7467362924281984,0.9647887323943662,0.5732993706922387
0.83,0.7400530503978779,0.9790209790209791,0.5957446808510638,0.7407407407407407,0.9788732394366197,0.5746179202876835
0.84,0.7374005305039788,0.9857142857142858,0.5872340425531914,0.736,0.9859154929577465,0.573149535510938
0.85,0.7347480106100795,0.9856115107913669,0.5829787234042553,0.732620320855615,0.9859154929577465,0.5688942163620019
0.86,0.726790450928382,0.9852941176470589,0.5702127659574469,0.7223719676549866,0.9859154929577465,0.5561282589151935
0.87,0.7055702917771883,0.984375,0.5361702127659574,0.6942148760330579,0.9859154929577465,0.522085705723704
0.88,0.7002652519893899,0.9841269841269841,0.5276595744680851,0.6869806094182825,0.9859154929577465,0.5135750674258315
