Metric,Random Forest,DNN Baseline,DNN Tuned,Baseline->Tuned,RF->Tuned
Accuracy,0.8620689655172413,0.8408488063660478,0.8647214854111406,0.023872679045092826,0.0026525198938992522
ROC-AUC,0.9347018279892118,0.9348816302067725,0.9323344321246629,-0.0025471980821095697,-0.002367395864548816
Precision,0.9030837004405287,0.9396984924623115,0.9181818181818182,-0.02151667428049331,0.015098117741289552
Recall,0.8723404255319149,0.7957446808510639,0.8595744680851064,0.06382978723404253,-0.012765957446808529
F1-Score,0.8874458874458875,0.8617511520737328,0.8879120879120879,0.026160935838355104,0.0004662004662003838
Specificity,0.8450704225352113,0.9154929577464789,0.8732394366197183,-0.04225352112676062,0.028169014084507005
